Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Activity Gear,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Calories,Max Temperature,Average Temperature,Relative Effort.1,Number of Runs,Uphill Time,Downhill Time,Other Time,Gear
1927719,"Sep 28, 2011, 4:37:41 AM","09/28/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:20:53,2.2,,,,1253.0,1253.0,3540.639892578125,3.5899899005889893,,26.50329971313477,,26.399999618530277,49.20000076293945,26.82320022583008,-0.1694609969854354,,,,,,,371.595458984375,,,,,,,,
1927721,"Sep 30, 2011, 4:35:32 AM","09/30/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:12:26,1.52,,,,746.0,746.0,2441.77001953125,4.216000080108643,,14.511699676513672,,26.200000762939453,41.400001525878906,13.986000061035156,0.2702960073947906,,,,,,,259.3922119140625,,,,,,,,
1927722,"Sep 26, 2011, 4:34:33 AM","09/26/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:20:52,2.19,,,,1252.0,1252.0,3525.580078125,3.3439900875091557,,10.763400077819824,,26.200000762939453,40.20000076293945,31.00779914855957,0.0794195979833602,,,,,,,373.19183349609375,,,,,,,,
1927723,"Oct 10, 2011, 6:42:14 AM","10/10/2011 Cambridge, Cambridgeshire, United Kingdom",Run,,0:38:25,4.16,,,,2305.0,2222.0,6700.91015625,7.47599983215332,,21.42609977722168,,8.600000381469727,65.0,11.676199913024902,-0.6506580114364624,,,,,,,693.6510620117188,,,,,,,,
1927724,"Sep 23, 2011, 4:35:12 AM","09/23/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:22:14,2.26,,,,1334.0,1334.0,3634.39990234375,3.3800299167633057,,0.0,,27.799999237060547,37.79999923706055,15.701800346374512,-0.126568004488945,,,,,,,379.2041931152344,,,,,,,,
1927727,"Oct 8, 2011, 7:13:03 AM","10/08/2011 Cambridge, Cambridgeshire, United Kingdom",Run,,0:36:16,4.1,,,,2176.0,2176.0,6608.8701171875,4.504000186920166,,11.77970027923584,,10.399999618530272,34.0,14.308300018310549,-0.1573639959096908,,,,,,,691.671142578125,,,,,,,,
1927728,"Oct 9, 2011, 9:00:46 AM","10/09/2011 Cambridge, Cambridgeshire, United Kingdom",Run,,0:36:41,4.09,,,,2201.0,2201.0,6595.39990234375,3.878000020980835,,42.5176010131836,,-7.599999904632568,20.600000381469727,35.862098693847656,0.3365980088710785,,,,,,,705.1056518554688,,,,,,,,
1927729,"Sep 21, 2011, 4:36:16 AM","09/21/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:19:46,2.13,,,,1186.0,1186.0,3421.199951171875,4.57997989654541,,0.0,,27.0,40.400001525878906,10.68570041656494,-0.2513740062713623,,,,,,,354.4498291015625,,,,,,,,
1927730,"Sep 16, 2011, 4:39:17 AM","09/16/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:23:07,2.32,,,,1387.0,1387.0,3739.760009765625,3.583980083465576,,0.0,,29.0,39.400001525878906,15.35509967803955,-0.096262902021408,,,,,,,391.2082214355469,,,,,,,,
1927731,"Sep 19, 2011, 4:35:45 AM","09/19/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:20:31,2.18,,,,1231.0,1231.0,3509.050048828125,3.625999927520752,,15.020000457763672,,28.0,43.79999923706055,17.01099967956543,-0.0911927968263626,,,,,,,368.4648742675781,,,,,,,,
1927732,"Sep 15, 2011, 4:34:15 AM","09/15/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:28:26,3.21,,,,1706.0,1706.0,5170.43017578125,3.813999891281128,,41.56050109863281,,27.600000381469727,47.20000076293945,22.134300231933597,-0.1431220024824142,,,,,,,546.0578002929688,,,,,,,,
1927733,"Sep 14, 2011, 4:34:21 AM","09/14/2011 Istres, Provence-Alpes-Côte d'Azur, France",Run,,0:21:54,1.4,,,,1314.0,876.0,2265.280029296875,4.1579999923706055,,68.23500061035156,,25.0,88.4000015258789,23976.5,0.3796440064907074,,,,,,,248.39373779296875,,,,,,,,
4962580,"Mar 9, 2012, 6:04:27 AM","03/09/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:27:13,3.12,,,,1633.0,1633.0,5021.31005859375,3.7699999809265137,,0.0,,7.956399917602539,15.911499977111816,14.342599868774414,-0.0096659995615482,,,,,,,520.7332763671875,,,,,,,,
4962581,"Mar 8, 2012, 5:46:04 AM","03/08/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:34:47,4.21,173.0,43.0,,2087.0,2087.0,6786.2900390625,4.468019962310791,,10.267200469970703,,7.0,17.419300079345703,14.995400428771973,-0.0056013599969446,,,,,173.0,159.04299926757812,704.3800048828125,,,43.0,,,,,
4962583,"Mar 7, 2012, 5:48:08 AM","03/07/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:46:34,5.1,208.0,58.0,,2794.0,2708.0,8208.5,3.7660200595855713,,11.653800010681152,,5.431779861450195,17.294200897216797,21.2007999420166,-0.0084536802023649,,,,,208.0,155.85899353027344,851.9733276367188,,,58.0,,,,,
4962584,"Mar 1, 2012, 5:59:35 AM","03/01/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:44:59,5.08,165.0,48.0,,2699.0,2699.0,8187.43994140625,3.613990068435669,,11.76729965209961,,5.453959941864014,17.424699783325195,16.3169002532959,-0.0069423401728272,,,,,165.0,154.302001953125,849.8275146484375,,,48.0,,,,,
4962585,"Mar 6, 2012, 5:39:10 AM","03/06/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:42:11,5.16,172.0,54.0,,2531.0,2531.0,8304.98046875,5.926000118255615,,11.758999824523926,,5.442969799041748,17.36359977722168,22.79199981689453,-0.0259841997176408,,,,,172.0,158.14599609375,861.3442993164062,,,54.0,,,,,
4962586,"Feb 29, 2012, 5:50:52 AM","02/29/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:49:30,6.02,206.0,90.0,,2970.0,2970.0,9690.4599609375,4.978000164031982,,11.806900024414062,,5.422830104827881,17.44070053100586,32.91379928588867,-0.0186954997479915,,,,,206.0,167.81500244140625,1005.299072265625,,,90.0,,,,,
4962587,"Mar 3, 2012, 9:22:01 AM","03/03/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:45:06,5.08,168.0,53.0,,2706.0,2706.0,8186.919921875,3.863960027694702,,11.565199851989746,,2.419250011444092,16.000900268554688,17.286100387573242,-0.0081710796803236,,,,,168.0,156.96800231933594,849.143310546875,,,53.0,,,,,
4962590,"Feb 27, 2012, 5:25:04 AM","02/27/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:37:31,4.13,167.0,36.0,,2251.0,2230.0,6648.22998046875,3.6659998893737793,,10.173100471496582,,7.0,17.321800231933594,18.706199645996094,-0.0129412002861499,,,,,167.0,147.89599609375,689.8778076171875,,,36.0,,,,,
4962593,"Mar 2, 2012, 5:58:18 AM","03/02/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:47:45,6.1,177.0,76.0,,2865.0,2865.0,9809.66015625,4.340000152587891,,11.829299926757812,,5.407939910888672,17.434600830078125,12.089900016784668,-0.0045347101986408,,,,,177.0,164.7220001220703,1018.2152709960938,,,76.0,,,,,
4962598,"Feb 6, 2012, 6:15:25 PM",02/06/2012 United Kingdom,Run,,0:26:00,3.01,169.0,26.0,,1560.0,1560.0,4849.9599609375,3.241990089416504,,0.0,,,,0.0,0.0,,,97.0,77.81089782714844,169.0,146.8990020751953,502.7542114257813,,,26.0,,,,,
4962599,"Feb 9, 2012, 5:46:36 AM","02/09/2012 Bottisham, Cambridgeshire, United Kingdom",Run,,0:40:27,5.13,165.0,44.0,,2427.0,2427.0,8252.580078125,4.28000020980835,,0.0,,11.818400382995604,20.52120018005371,16.3789005279541,-0.0049133701249957,,,,,165.0,157.7010040283203,856.4722290039062,,,44.0,,,,,
